time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1718	1.32228	5.16474	0.199726	0.14019	radar	5.14614	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3955	1.40198	5.12479	0.218764	0.151291	lidar	9.33598	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6259	1.47316	4.95173	0.233944	0.158502	radar	3.54519	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8462	1.51106	4.91349	0.235377	0.152864	lidar	6.45416	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1148	1.56113	5.02336	0.237828	0.148072	radar	2.12108	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3947	1.61594	5.07909	0.241172	0.144399	lidar	14.718	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6249	1.66842	5.00467	0.246515	0.142919	radar	0.645765	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.853	1.7359	4.98423	0.256531	0.14542	lidar	2.20817	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1128	1.82073	5.10909	0.2691	0.149702	radar	1.63862	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3545	1.86151	5.09144	0.267265	0.141814	lidar	2.35044	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6119	1.92478	5.18024	0.271327	0.139042	radar	0.726873	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8158	2.04739	5.13112	0.299154	0.15678	lidar	24.2139	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0871	2.15074	5.28104	0.313135	0.161596	radar	3.07158	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2953	2.28356	5.23805	0.341165	0.178544	lidar	21.2701	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4752	2.39883	4.98462	0.365845	0.19283	radar	11.9936	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7255	2.52295	5.03034	0.384953	0.200813	lidar	8.38347	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9471	2.62183	4.9868	0.397368	0.203008	radar	0.298343	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1781	2.7774	5.02302	0.425969	0.218639	lidar	9.03483	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4309	2.88635	5.15563	0.434497	0.215951	radar	1.08902	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6334	2.97631	5.09666	0.442113	0.213284	lidar	13.5626	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8698	3.11863	5.18577	0.461424	0.220288	radar	4.05965	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0842	3.30814	5.2108	0.497146	0.241407	lidar	13.3188	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2996	3.45251	5.11773	0.517996	0.249708	radar	3.4001	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5164	3.64626	5.16124	0.551342	0.267585	lidar	10.5372	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7288	3.77006	5.11722	0.562042	0.26552	radar	0.690191	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9475	3.93181	5.14215	0.582192	0.271422	lidar	1.91788	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1467	4.07277	5.00858	0.599345	0.27563	radar	1.88448	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3439	4.27687	5.05213	0.632722	0.292475	lidar	8.81838	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5571	4.43113	5.08039	0.646591	0.291717	radar	0.515561	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7318	4.61261	5.06975	0.673156	0.302007	lidar	7.35895	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8927	4.76757	4.82792	0.696876	0.311713	radar	4.45999	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
